#  m,M -> b,B
# x-axis: "(p1+p3)^2Diff. cross section [pb"  from -14000.000000 to -0.040000 N_bins= 300
# E = 120 GeV
# s section [pb/GeV^2]
-7.023353E+03 1.293726E-03 +/-  1.612179E-05
-6.976687E+03 1.306510E-03 +/-  1.626470E-05
-6.930020E+03 1.316601E-03 +/-  1.638157E-05
-6.883354E+03 1.326583E-03 +/-  1.650837E-05
-6.836687E+03 1.337366E-03 +/-  1.662457E-05
-6.790021E+03 1.347103E-03 +/-  1.674443E-05
-6.743354E+03 1.359090E-03 +/-  1.671360E-05
-6.696688E+03 1.367620E-03 +/-  1.656547E-05
-6.650021E+03 1.381807E-03 +/-  1.671771E-05
-6.603354E+03 1.391275E-03 +/-  1.683080E-05
-6.556688E+03 1.402708E-03 +/-  1.696669E-05
-6.510021E+03 1.413278E-03 +/-  1.709201E-05
-6.463355E+03 1.425008E-03 +/-  1.721894E-05
-6.416688E+03 1.436193E-03 +/-  1.732223E-05
-6.370022E+03 1.448662E-03 +/-  1.708281E-05
-6.323355E+03 1.459005E-03 +/-  1.718916E-05
-6.276689E+03 1.470301E-03 +/-  1.731326E-05
-6.230022E+03 1.486795E-03 +/-  1.748081E-05
-6.183356E+03 1.493523E-03 +/-  1.758550E-05
-6.136689E+03 1.507883E-03 +/-  1.772768E-05
-6.090023E+03 1.520631E-03 +/-  1.783800E-05
-6.043356E+03 1.531755E-03 +/-  1.759718E-05
-5.996690E+03 1.544448E-03 +/-  1.772499E-05
-5.950023E+03 1.558628E-03 +/-  1.787139E-05
-5.903356E+03 1.567123E-03 +/-  1.799246E-05
-5.856690E+03 1.582950E-03 +/-  1.814559E-05
-5.810023E+03 1.596240E-03 +/-  1.828258E-05
-5.763357E+03 1.608848E-03 +/-  1.824883E-05
-5.716690E+03 1.620707E-03 +/-  1.815692E-05
-5.670024E+03 1.634790E-03 +/-  1.829730E-05
-5.623357E+03 1.647854E-03 +/-  1.844467E-05
-5.576691E+03 1.660568E-03 +/-  1.858701E-05
-5.530024E+03 1.675408E-03 +/-  1.873103E-05
-5.483358E+03 1.687221E-03 +/-  1.879601E-05
-5.436691E+03 1.702161E-03 +/-  1.862753E-05
-5.390025E+03 1.717345E-03 +/-  1.877644E-05
-5.343358E+03 1.729965E-03 +/-  1.891884E-05
-5.296692E+03 1.743331E-03 +/-  1.906618E-05
-5.250025E+03 1.757107E-03 +/-  1.920331E-05
-5.203358E+03 1.771862E-03 +/-  1.927302E-05
-5.156692E+03 1.786453E-03 +/-  1.912099E-05
-5.110025E+03 1.802295E-03 +/-  1.927337E-05
-5.063359E+03 1.814884E-03 +/-  1.941559E-05
-5.016692E+03 1.830088E-03 +/-  1.956936E-05
-4.970026E+03 1.844494E-03 +/-  1.971129E-05
-4.923359E+03 1.860012E-03 +/-  1.967750E-05
-4.876693E+03 1.874475E-03 +/-  1.965160E-05
-4.830026E+03 1.890483E-03 +/-  1.980210E-05
-4.783360E+03 1.903919E-03 +/-  1.995155E-05
-4.736693E+03 1.921201E-03 +/-  2.010867E-05
-4.690027E+03 1.935891E-03 +/-  2.023031E-05
-4.643360E+03 1.953453E-03 +/-  2.005873E-05
-4.596694E+03 1.964961E-03 +/-  2.019347E-05
-4.550027E+03 1.982848E-03 +/-  2.035594E-05
-4.503360E+03 1.998757E-03 +/-  2.051078E-05
-4.456694E+03 2.013996E-03 +/-  2.065243E-05
-4.410027E+03 2.030264E-03 +/-  2.052246E-05
-4.363361E+03 2.047404E-03 +/-  2.063271E-05
-4.316694E+03 2.061998E-03 +/-  2.077642E-05
-4.270028E+03 2.079589E-03 +/-  2.093865E-05
-4.223361E+03 2.095514E-03 +/-  2.108571E-05
-4.176695E+03 2.111137E-03 +/-  2.096046E-05
-4.130028E+03 2.130120E-03 +/-  2.107891E-05
-4.083362E+03 2.144876E-03 +/-  2.122712E-05
-4.036695E+03 2.162018E-03 +/-  2.138282E-05
-3.990029E+03 2.180118E-03 +/-  2.153309E-05
-3.943362E+03 2.197190E-03 +/-  2.137561E-05
-3.896696E+03 2.214866E-03 +/-  2.154042E-05
-3.850029E+03 2.229665E-03 +/-  2.169074E-05
-3.803362E+03 2.248068E-03 +/-  2.184662E-05
-3.756696E+03 2.266894E-03 +/-  2.189357E-05
-3.710029E+03 2.284328E-03 +/-  2.185750E-05
-3.663363E+03 2.300763E-03 +/-  2.202068E-05
-3.616696E+03 2.318785E-03 +/-  2.218455E-05
-3.570030E+03 2.338851E-03 +/-  2.234359E-05
-3.523363E+03 2.355699E-03 +/-  2.221955E-05
-3.476697E+03 2.372681E-03 +/-  2.234609E-05
-3.430030E+03 2.392093E-03 +/-  2.252291E-05
-3.383364E+03 2.409876E-03 +/-  2.267319E-05
-3.336697E+03 2.429704E-03 +/-  2.267837E-05
-3.290031E+03 2.446916E-03 +/-  2.271137E-05
-3.243364E+03 2.466058E-03 +/-  2.288694E-05
-3.196698E+03 2.485523E-03 +/-  2.305579E-05
-3.150031E+03 2.503803E-03 +/-  2.309082E-05
-3.103364E+03 2.523220E-03 +/-  2.304769E-05
-3.056698E+03 2.541060E-03 +/-  2.321642E-05
-3.010031E+03 2.560961E-03 +/-  2.339089E-05
-2.963365E+03 2.580907E-03 +/-  2.347274E-05
-2.916698E+03 2.598686E-03 +/-  2.343230E-05
-2.870032E+03 2.620575E-03 +/-  2.361862E-05
-2.823365E+03 2.637713E-03 +/-  2.378005E-05
-2.776699E+03 2.659590E-03 +/-  2.385619E-05
-2.730032E+03 2.678532E-03 +/-  2.382684E-05
-2.683366E+03 2.699709E-03 +/-  2.400410E-05
-2.636699E+03 2.717951E-03 +/-  2.416850E-05
-2.590033E+03 2.740123E-03 +/-  2.420651E-05
-2.543366E+03 2.758548E-03 +/-  2.422682E-05
-2.496700E+03 2.780283E-03 +/-  2.439979E-05
-2.450033E+03 2.799108E-03 +/-  2.456398E-05
-2.403366E+03 2.820874E-03 +/-  2.452665E-05
-2.356700E+03 2.840804E-03 +/-  2.462710E-05
-2.310033E+03 2.863985E-03 +/-  2.480808E-05
-2.263367E+03 2.883528E-03 +/-  2.492774E-05
-2.216700E+03 2.903772E-03 +/-  2.488774E-05
-2.170034E+03 2.925517E-03 +/-  2.506347E-05
-2.123367E+03 2.945721E-03 +/-  2.522735E-05
-2.076701E+03 2.968517E-03 +/-  2.524585E-05
-2.030034E+03 2.989563E-03 +/-  2.532618E-05
-1.983368E+03 3.011264E-03 +/-  2.550235E-05
-1.936701E+03 3.032218E-03 +/-  2.560947E-05
-1.890035E+03 3.054597E-03 +/-  2.558638E-05
-1.843368E+03 3.076897E-03 +/-  2.575342E-05
-1.796702E+03 3.097666E-03 +/-  2.592871E-05
-1.750035E+03 3.121218E-03 +/-  2.589511E-05
-1.703368E+03 3.141598E-03 +/-  2.602499E-05
-1.656702E+03 3.164813E-03 +/-  2.620456E-05
-1.610035E+03 3.187999E-03 +/-  2.624807E-05
-1.563369E+03 3.211317E-03 +/-  2.631516E-05
-1.516702E+03 3.232064E-03 +/-  2.648420E-05
-1.470036E+03 3.254423E-03 +/-  2.659362E-05
-1.423369E+03 3.279356E-03 +/-  2.664100E-05
-1.376703E+03 3.299875E-03 +/-  2.679512E-05
-1.330036E+03 3.323606E-03 +/-  2.691547E-05
-1.283370E+03 3.348264E-03 +/-  2.684448E-05
-1.236703E+03 3.369613E-03 +/-  2.700906E-05
-1.190037E+03 3.395218E-03 +/-  2.718355E-05
-1.143370E+03 3.417400E-03 +/-  2.726510E-05
-1.096704E+03 3.440790E-03 +/-  2.744139E-05
-1.050037E+03 3.464469E-03 +/-  2.757245E-05
-1.003370E+03 3.489027E-03 +/-  2.746514E-05
-9.567039E+02 3.513278E-03 +/-  2.765008E-05
-9.100374E+02 3.535537E-03 +/-  2.778369E-05
-8.633709E+02 3.558951E-03 +/-  2.780873E-05
-8.167043E+02 3.587033E-03 +/-  2.801802E-05
-7.700378E+02 3.607948E-03 +/-  2.811797E-05
-7.233713E+02 3.633032E-03 +/-  2.814864E-05
-6.767047E+02 3.658523E-03 +/-  2.833761E-05
-6.300382E+02 3.682213E-03 +/-  2.841373E-05
-5.833717E+02 3.708494E-03 +/-  2.846534E-05
-5.367051E+02 3.731568E-03 +/-  2.864842E-05
-4.900386E+02 3.757687E-03 +/-  2.864822E-05
-4.433721E+02 3.781623E-03 +/-  2.873213E-05
-3.967055E+02 3.809346E-03 +/-  2.892940E-05
-3.500390E+02 3.830865E-03 +/-  2.905665E-05
-3.033725E+02 3.860467E-03 +/-  2.925744E-05
-2.567059E+02 3.882811E-03 +/-  2.932521E-05
-2.100394E+02 3.908777E-03 +/-  2.915461E-05
-1.633729E+02 3.937237E-03 +/-  2.935633E-05
-1.167063E+02 3.959424E-03 +/-  2.955616E-05
-7.003980E+01 3.986857E-03 +/-  2.977769E-05
-2.337327E+01 4.012395E-03 +/-  2.996807E-05
